number_correct_lifetime,number_attempted_this_session,topic_ratio,number_in_topic,difficulty,time,will_continue
1,1,1.0,1,0.34864999999999996,75.54789856142618,1
2,2,1.0,1,0.44855,151.09789957353962,1
3,3,1.0,2,0.44710145,226.6496598915803,1
3,4,0.0,1,0.44955,302.2010847200141,1
4,5,1.0,1,0.24875,377.75269593509506,1
5,6,1.0,2,0.24875,453.30449352799263,1
5,7,0.0,1,0.24975,528.8561047430736,0
0,1,0.0,1,0.44910045000000004,72.81107094823484,1
0,2,0.0,1,0.24950025,145.62051117139197,1
0,3,0.0,1,0.34964999999999996,218.42995139454908,1
0,4,0.0,1,0.24850125,291.2393916177062,0
0,1,0.0,1,0.24975,70.22254703650921,0
0,1,0.0,1,0.34930035,72.94463499097013,1
0,2,0.0,1,0.24850125,145.88926998194026,1
0,3,0.0,1,0.44865134955,218.83122717465886,1
0,4,0.0,2,0.44820269820045,291.77318436737744,0
0,1,0.0,1,0.24825274875,73.70992085075137,1
0,2,0.0,1,0.44955,147.41984170150275,1
1,3,1.0,1,0.24825074975,221.13172549341505,1
1,4,0.0,2,0.24825274875,294.84183377547174,0
0,1,0.0,1,0.34830134999999995,74.1419582426615,1
1,2,1.0,1,0.24700449600125,148.28558500214808,1
2,3,1.0,1,0.34864999999999996,222.4312893638464,1
2,4,0.0,1,0.24800249900025,296.575326263597,0
0,1,0.0,1,0.24675749150524873,74.34385725216937,1
0,2,0.0,2,0.24651073401374346,148.68771450433874,1
1,3,0.3333333333333333,3,0.24700449600125,223.0330594931587,1
1,4,0.25,4,0.24626422327972972,297.3784044819787,0
1,1,1.0,1,0.34795104964999996,75.56000225525513,1
1,2,0.0,1,0.44665434855,151.11731754209052,1
1,3,0.0,1,0.44775449550224955,226.67463282892592,1
2,4,1.0,1,0.34730134999999995,302.23404363975396,1
3,5,1.0,2,0.34660309860034993,377.7957357283767,1
4,6,1.0,1,0.24850025,453.3590643047703,0
0,1,0.0,1,0.34625649550174964,72.03749321178614,0
1,1,1.0,1,0.3449102390062479,68.33390460196725,0
0,1,0.0,1,0.44910045000000004,73.72249038689617,1
1,2,1.0,1,0.24575749150524873,147.44718074497018,1
1,3,0.0,1,0.44620769420145,221.16765858295602,0
0,1,0.0,1,0.44576148650724856,70.37470556530745,0
1,1,1.0,1,0.3435653287672416,72.46539000333024,1
1,2,0.0,1,0.24775449650124975,144.93056223795082,1
1,3,0.0,1,0.34695404864999996,217.39337321111572,1
2,4,1.0,1,0.34695304865,289.8564899646815,0
1,1,1.0,1,0.24725174975000003,70.85626946189136,0
0,1,0.0,1,0.2455117340137435,73.69099916303315,1
0,2,0.0,2,0.24601795905645,147.3819983260663,1
1,3,1.0,1,0.44765134955,221.07457382230257,1
1,4,0.0,1,0.34660609560135,294.7671493185388,1
1,5,0.0,3,0.24577194109739356,368.4597248147751,1
1,6,0.5,2,0.4473067410067473,442.1518444183027,1
1,7,0.0,2,0.3462594895057486,515.8436111005032,0
0,1,0.0,1,0.24552616915629616,70.27531617135517,1
0,2,0.0,1,0.34660709460135,140.55063234271034,0
0,1,0.0,1,0.24528064298713986,73.98611528147683,1
0,2,0.0,1,0.24700449800025004,147.97201385733723,1
0,3,0.0,2,0.24526622227972975,221.95791243319763,1
1,4,1.0,1,0.34526048750674865,295.94586181050903,1
2,5,0.5,2,0.2457574935022498,369.93402769286985,0
0,1,0.0,1,0.34591323001624286,71.51925638897596,1
0,2,0.0,1,0.3432217634384743,143.03851277795192,0
1,1,1.0,1,0.24402095605745,73.67184986620924,1
2,2,1.0,1,0.4443157250207413,147.34390877826235,0
1,1,1.0,1,0.2465067420047485,76.70700849061096,1
1,2,0.0,1,0.34556731678622665,153.41401698122192,1
2,3,1.0,1,0.24451173600874754,230.12232197410418,1
3,4,1.0,1,0.4428714092957205,306.8329691628165,1
3,5,0.5,2,0.24626023526274374,383.5436163515288,0
1,1,1.0,1,0.4414285378864247,67.20334133557304,0
0,1,0.0,1,0.34522174946944045,69.63435143555422,0
0,1,0.0,1,0.44720369820045003,68.64982058336435,1
1,2,1.0,1,0.24326722427273878,137.2998713600103,0
0,1,0.0,1,0.3428785416750359,72.85954685836992,1
1,2,1.0,1,0.24202395704846602,145.71909371673985,1
1,3,0.0,1,0.4467564945022496,218.57864057510977,1
1,4,0.0,1,0.24377693510139256,291.43622087440957,1
1,5,0.0,2,0.24503536234415274,364.29380117370937,1
1,6,0.0,1,0.4409871093485383,437.15138147300917,0
1,1,1.0,1,0.34153566313336087,74.80799513749643,1
1,2,0.0,1,0.24178193309141754,149.61599027499287,1
1,3,0.0,1,0.24479032698180858,224.42197477340017,1
1,4,0.0,2,0.24454553665482678,299.22594982146086,0
0,1,0.0,1,0.4468594342657405,69.3175440546839,1
0,2,0.0,2,0.4463097380077473,138.6350881093678,1
0,3,0.0,1,0.344876527719971,207.95263216405172,1
0,4,0.0,1,0.24601397502748099,277.2701762187356,0
0,1,0.0,1,0.2457679610524535,69.65940126513883,0
0,1,0.0,1,0.24353315816629117,69.36111702361103,0
0,1,0.0,1,0.24154015115832614,69.87273576162684,0
0,1,0.0,1,0.44641257483147473,68.61502011450128,0
1,1,1.0,1,0.24029861100716782,76.73233339825588,1
1,2,0.0,1,0.44596616225664326,153.46445427787197,1
1,3,0.0,1,0.24430099111817197,230.19551094587013,1
1,4,0.0,2,0.2440566901270538,306.92645130966616,1
1,5,0.0,3,0.24381263343692675,383.6573916734622,0
0,1,0.0,1,0.44552019609438664,72.78046529007204,1
0,2,0.0,1,0.2432896250081249,145.5609305801441,1
0,3,0.0,1,0.44054612223918976,218.3410177982463,1
0,4,0.0,2,0.24356882080348982,291.1211050163485,0
0,1,0.0,1,0.34453165119225104,69.21792912455294,0
1,1,1.0,1,0.34391522701924193,75.24259401641353,1
2,2,1.0,1,0.3431871195410588,150.48749394151528,1
3,3,1.0,1,0.4391055761169506,225.73534020040893,1
4,4,1.0,1,0.24452219309140105,300.983333682471,1
4,5,0.0,1,0.44586342826973957,376.2313271645331,0
1,1,1.0,1,0.24204633538311676,71.82977928721861,0
0,1,0.0,1,0.24005831239616066,70.58405805497438,1
0,2,0.0,1,0.4454175648414698,141.16473461026976,0
0,1,0.0,1,0.4449721472766283,71.0116817342187,0
1,1,1.0,1,0.4435271751293517,75.6087935802452,1
2,2,1.0,1,0.24080428904773366,151.21938254512474,1
3,3,1.0,1,0.3401941274702275,226.83250350153443,1
4,4,1.0,2,0.2395634847586859,302.44730382968936,1
4,5,0.0,1,0.23981825408376448,378.06210415784426,1
5,6,1.0,3,0.23832392127392724,453.67857440449427,1
6,7,1.0,1,0.34257131179222267,529.2975904137724,0
0,1,0.0,1,0.3428439324215177,70.43546115603307,1
0,2,0.0,2,0.3425010884890962,140.86806509360196,1
0,3,0.0,1,0.43866647054083363,211.30026798712538,0
1,1,1.0,1,0.44208364795422234,72.08045342886759,0
1,1,1.0,1,0.3412287404804304,72.24723216261188,0
0,1,0.0,1,0.34088751173994997,74.41905884945255,1
1,2,1.0,1,0.2370855973526533,148.83965328103386,1
1,3,0.5,2,0.2433252519826863,223.2600607020129,1
1,4,0.0,1,0.44507467589829225,297.6801260349389,1
1,5,0.0,2,0.4416415643062681,372.0998518923785,1
1,6,0.0,1,0.43822780407029277,446.51957774981815,0
0,1,0.0,1,0.24308192673070364,68.52014195858774,0
1,1,1.0,1,0.23584851175530064,72.814953824562,1
1,2,0.0,1,0.43778957626622245,145.6263943113612,1
1,3,0.0,1,0.33985393334275726,218.4378347981604,1
1,4,0.0,2,0.3395140794094145,291.2463003324282,1
1,5,0.0,1,0.34054662422821,364.05476586669596,0
0,1,0.0,1,0.2395784358296807,74.23484861145062,1
0,2,0.0,1,0.4373517866899562,148.46641295260085,1
1,3,1.0,1,0.24327767089830965,222.6981451306518,1
2,4,1.0,2,0.24203439322741133,296.9315356735134,0
0,1,0.0,1,0.3391745653300051,70.8742572119755,1
0,2,0.0,1,0.34020607760398186,141.74533050705463,1
0,3,0.0,1,0.3421585874006071,212.6164038021338,0
0,1,0.0,1,0.2417923588341839,75.16799356197971,1
1,2,1.0,1,0.3408164288132065,150.3382825792088,1
1,3,0.0,2,0.2415505664753497,225.50842370285454,1
2,4,1.0,1,0.43591443490326626,300.68122919735663,0
1,1,1.0,1,0.3394756123843933,73.03558653512926,0
1,1,1.0,1,0.33886587152637787,73.00703964884666,1
2,2,1.0,1,0.23833885739385102,146.01634299112504,1
2,3,0.0,1,0.24130901590887435,219.02549633009664,1
2,4,0.0,1,0.33913613677200893,292.03144192489526,0
0,1,0.0,1,0.24106770689296547,73.74449762649633,1
0,2,0.0,1,0.4411999227419618,147.48869773620066,1
0,3,0.0,1,0.24283884480397294,221.232897845905,1
0,4,0.0,2,0.23561266324354535,294.97709795560934,0
0,1,0.0,1,0.44075872281921985,72.758346935825,1
0,2,0.0,1,0.23810051853645717,145.51501129441962,1
1,3,1.0,1,0.33779700063523693,218.274069633566,1
2,4,1.0,1,0.2398266391860725,291.0331279727124,1
2,5,0.0,1,0.3388353907646751,363.7921863118588,0
0,1,0.0,1,0.435478520468363,71.91593340522398,1
0,2,0.0,2,0.4350430419478946,143.83149155435527,0
0,1,0.0,1,0.4346079989059467,69.78210527436161,0
1,1,1.0,1,0.43931796409640067,72.7430688866816,0
1,1,1.0,1,0.43787864613230426,75.18354466997752,1
1,2,0.0,1,0.43417339090704077,150.36685862569226,1
2,3,1.0,1,0.33749655537391043,225.55267245246597,1
3,4,1.0,2,0.3361590588185365,300.7407955609266,1
4,5,1.0,2,0.4436296012223939,375.93219805220116,1
5,6,1.0,3,0.436440767486172,451.1238330697061,1
6,7,1.0,4,0.43500432671868583,526.3186813370955,0
0,1,0.0,1,0.43456932239196716,76.72353448203931,1
0,2,0.0,1,0.2395868125468864,153.44706896407862,1
0,3,0.0,2,0.4431859716211715,230.17040065042372,1
0,4,0.0,1,0.3385270056548515,306.89373233676884,1
0,5,0.0,1,0.2353770505803018,383.6170640231139,1
0,6,0.0,1,0.33582289975971796,460.340395709459,0
0,1,0.0,1,0.33818847864919666,73.78972215531459,1
1,2,1.0,1,0.4331347530695752,147.58276851859844,1
2,3,1.0,1,0.43273921751613376,221.37942048307582,0
0,1,0.0,1,0.2351416735297215,68.7530510583783,0
0,1,0.0,1,0.2349065318561918,75.07835558455956,1
1,2,1.0,1,0.3364592036346017,150.15933422972762,1
1,3,0.0,2,0.2346716253243356,225.24031287489566,1
1,4,0.0,1,0.4327016183165056,300.3212915200637,0
0,1,0.0,1,0.23443695369901127,70.46900965447904,0
0,1,0.0,1,0.23420251674531226,70.87107329507914,1
0,2,0.0,1,0.4323064782986176,141.73844470616763,0
1,1,1.0,1,0.430874171820319,73.96055636163427,1
2,2,1.0,1,0.23834722573433953,147.9222265234611,1
3,3,1.0,1,0.44174278564955033,221.88595534337787,1
4,4,1.0,1,0.3344870768599582,295.8515483472351,1
5,5,1.0,1,0.23296831422856695,369.8182275638867,1
5,6,0.0,1,0.33785029017054746,443.78490678053834,1
5,7,0.5,2,0.44130104286390076,517.7511838962159,0
1,1,1.0,1,0.33512274443096707,68.97449842287452,0
1,1,1.0,1,0.33651243988037693,70.43249089749662,0
1,1,1.0,1,0.4312689166981891,72.51459467697046,0
1,1,1.0,1,0.4398597418210368,75.08229810277709,1
1,2,0.0,1,0.3347876216865361,150.16459620555418,1
1,3,0.0,1,0.2327353459143384,225.24689430833126,1
2,4,1.0,2,0.4384198820792158,300.3315757071744,1
2,5,0.6666666666666666,3,0.4379814621971366,375.41388161499214,1
2,6,0.0,1,0.2378624180179207,450.49618752280986,0
0,1,0.0,1,0.23810887850860518,69.25423179911667,0
0,1,0.0,1,0.33445283406484955,69.48748860419,0
1,1,1.0,1,0.2368707696300966,70.15570833584812,0
0,1,0.0,1,0.24259600595916897,71.76478286917781,1
0,2,0.0,1,0.4308376477814909,143.5270265537717,1
0,3,0.0,2,0.23250261056842406,215.2892702383656,0
0,1,0.0,1,0.23227010795785563,71.1476105319392,1
0,2,0.0,1,0.3341183812307847,142.29488616113423,1
0,3,0.0,1,0.2376245555999028,213.44216179032927,0
1,1,1.0,1,0.3351759274404965,75.04225990513757,1
1,2,0.5,2,0.33484075151305603,150.0842606219049,1
2,3,1.0,1,0.4294432976484987,225.12626133867224,1
3,4,1.0,1,0.2310378378498978,300.16950137227013,1
4,5,1.0,2,0.42801385435085015,375.2150312502806,1
5,6,1.0,1,0.33278426284955387,450.2623413212227,0
0,1,0.0,1,0.23738693104430292,71.56728398493144,1
1,2,1.0,1,0.42658584049649934,143.13699313722617,1
2,3,1.0,2,0.4251592546560028,214.70911744048362,1
2,4,0.0,1,0.4375434807349395,286.27831765518465,0
4,1,0.0,2,0.43710593725420455,75.5633285763936,1
5,2,1.0,2,0.33350591076154296,151.12884994902322,1
5,3,0.0,3,0.4304068101337094,226.69437132165285,1
6,4,1.0,2,0.2361495441132586,302.2598926942825,1
6,5,0.0,1,0.24235340995320978,377.8254140669121,0
0,1,0.0,1,0.2308068000120479,70.89005296088696,1
1,2,1.0,1,0.43566883131695033,141.78054339507423,1
2,3,0.5,2,0.22957599321203587,212.67268496354689,1
3,4,1.0,1,0.23491339456914537,283.5662789875895,0
0,1,0.0,1,0.33317240485078137,72.43063848059002,1
0,2,0.0,1,0.33415258978309825,144.86091522839072,1
0,3,0.0,2,0.33381843719331517,217.29083059639694,1
0,4,0.0,1,0.2366338988604665,289.72048978779407,1
0,5,0.0,1,0.42473409540134677,362.15014897919116,1
0,6,0.0,1,0.42997640332357573,434.57934267281064,0
0,1,0.0,1,0.33283923244593056,74.60188368110148,1
1,2,1.0,1,0.24111105654325657,149.2058896647389,1
1,3,0.0,1,0.42954642692025213,223.80633009934738,0
0,1,0.0,1,0.4243093613059454,71.61631773799718,1
0,2,0.0,1,0.4352331624856334,143.23263547599436,1
0,3,0.0,2,0.43479792932314776,214.84895321399154,1
0,4,0.0,2,0.42388505194463943,286.46484890006934,0
0,1,0.0,1,0.33250639321348463,68.35913936600146,0
1,1,1.0,1,0.22834641721882382,72.03749321178614,0
1,1,1.0,1,0.43336313139382465,73.16630963317147,1
2,2,1.0,1,0.2398699454867133,146.33475712451587,0
1,1,1.0,1,0.3314514785867043,71.86542342730633,1
2,2,1.0,1,0.23367848117457624,143.7319697911975,1
2,3,0.5,2,0.3311200271081176,215.59816492297955,1
3,4,1.0,2,0.23244480269340168,287.4643600547616,1
3,5,0.0,1,0.33348461875612184,359.3305551865436,0
1,1,1.0,1,0.23121235789070826,76.02332266568163,1
